Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
52,0.9955945461409136,0.9954218743259181,0.9957607192209217,0.9934386827385255,0.9933598353940345,0.9935165968841305
53,0.9955660110536156,0.9953927672544477,0.9957327544131968,0.9933828011939339,0.9933035944065243,0.9934610741903573
54,0.995517823737613,0.9953436177460984,0.9956855264163055,0.9933279251718183,0.9932483666557237,0.9934065493175313
55,0.9954642437571101,0.995288973548058,0.9956330074844931,0.9932748567283185,0.9931949592174764,0.993353819310097
56,0.9953873886992115,0.995210602441509,0.9955576639960223,0.9931870244578931,0.9931065685043317,0.9932665445652498
57,0.9953176293375048,0.9951394775294615,0.9954892661903373,0.9931247466967619,0.9930438967118099,0.9932046601904347
58,0.9952674919920281,0.9950883643386071,0.9954401018274208,0.9930762855618835,0.9929951298007196,0.9931565043268527
59,0.9952262723698194,0.9950463458514233,0.9953996787188666,0.9930283005406507,0.9929468427946245,0.9931088207897311
60,0.9951904042238586,0.9950097850448247,0.9953645011905115,0.9929786526814841,0.9928968833505285,0.9930594839977038
61,0.9951401553151686,0.9949585697180842,0.9953152158502415,0.9929238498516404,0.9928417376451699,0.9930050234733748
62,0.9950862789180805,0.9949036622879966,0.9952623674537646,0.9928641491621488,0.9927816647170047,0.9929456944040751
63,0.9950233793035511,0.9948395657125684,0.9952006612976221,0.992791731718618,0.9927087975732285,0.9928737259153112
64,0.9950017975840464,0.9948175748460628,0.9951794875252035,0.9927389047236527,0.9926556437252466,0.9928212252315584
65,0.994969389741116,0.9947845536894067,0.9951476911687489,0.9926943611231636,0.9926108250975071,0.9927769561983169
66,0.9949261446957887,0.9947404928442275,0.9951052594809779,0.9926465236352052,0.9925626929423441,0.9927294128830418
